Sample,GRF_real,GRF_predito,Resíduo
1,0,55.52092,-55.52092
2,444.913813285081,335.7343,109.1795
3,441.637424310124,488.7762,-47.13876
4,427.109904433268,484.5234,-57.41353
5,448.543592942867,531.9624,-83.41881
6,475.243812024069,548.8439,-73.60012
7,472.539111435779,567.6229,-95.08382
8,444.358020038216,627.7518,-183.3938
9,229.399889825309,547.332,-317.9321
10,0,25.56331,-25.56331
11,1.39554620975809,24.11571,-22.72016
12,0,44.72188,-44.72188
13,456.42186206407,452.2649,4.15697
14,453.705794914154,476.7159,-23.01006
15,428.861084314748,472.022,-43.16095
16,396.224957948794,437.0159,-40.79094
17,379.237764088387,436.5021,-57.26437
18,387.489772496755,437.7132,-50.22339
19,474.569175850951,508.883,-34.31379
20,510.84283906727,508.3113,2.531529
21,434.448710258805,536.6752,-102.2265
22,285.742922408855,482.9388,-197.1959
23,206.915758746081,443.5893,-236.6735
24,143.948344167072,362.9394,-218.991
25,83.2228569001013,242.4306,-159.2077
26,0,38.85622,-38.85622
27,0,54.2864,-54.2864
28,0,53.68373,-53.68373
29,407.891384569164,309.2716,98.61981
30,451.319796913333,426.2889,25.03086
31,419.231387091764,456.2076,-36.97625
32,429.425344726782,459.0308,-29.60542
33,437.717506727665,461.8451,-24.12756
34,501.53409749821,620.503,-118.9689
35,235.963697621995,477.4368,-241.4731
36,174.496524365938,420.8224,-246.3258
37,9.66606549202629,205.254,-195.5879
38,0.0662782602286143,29.5595,-29.49322
39,1.94873700534572,22.72832,-20.77958
40,8.5265128291212e-13,19.49315,-19.49315
41,0,41.19558,-41.19558
42,225.955231727912,60.48442,165.4708
43,420.918418242488,368.6523,52.26608
44,423.869501251795,453.8044,-29.93488
45,408.183283740654,479.7362,-71.55296
46,458.969848724844,459.2008,-0.2309875
47,472.917140972187,477.5347,-4.617527
48,481.878294381956,500.5116,-18.63327
49,495.141173110422,508.3764,-13.23526
50,507.136374664183,513.0208,-5.884377
51,487.357099226152,521.3844,-34.0273
52,470.562456888007,563.1778,-92.61534
53,136.159465046916,546.415,-410.2555
54,1.85490677950469,26.96758,-25.11267
55,0,24.32503,-24.32503
56,0,34.37154,-34.37154
57,0,45.9713,-45.9713
58,256.241637442015,58.33083,197.9108
59,438.669909296373,293.0267,145.6432
60,425.790499878999,418.5555,7.235049
61,390.411955393245,467.5422,-77.13028
62,376.018492946785,443.9427,-67.92416
63,381.539131174859,451.5332,-69.99407
64,384,455.3849,-71.38486
65,437.877734258792,494.6474,-56.76963
66,421.886911703196,440.8975,-19.01058
67,0,24.55873,-24.55873
68,408.597074119407,321.3764,87.22067
69,385.004541692589,445.246,-60.24149
70,487.665047261227,531.5193,-43.8543
71,479.312229423997,552.8484,-73.53622
72,458.229746833452,574.1779,-115.9482
73,376.819086538393,478.7907,-101.9717
74,11.9547448171581,89.30505,-77.35031
75,0,31.05867,-31.05867
76,0,21.46605,-21.46605
77,0,31.03603,-31.03603
78,0,29.56392,-29.56392
79,462.13209546476,463.4103,-1.278244
80,464.506189559484,480.3038,-15.79761
81,421.769374983704,486.3487,-64.57935
82,413.999999999992,449.246,-35.24603
83,462.59212998806,524.5933,-62.00113
84,474.219671409563,497.4272,-23.20757
