Sample,GRF_real,GRF_predito,Resíduo
1,0,4.286486,-4.286486
2,0,8.254412,-8.254412
3,200.706487606285,27.3124,173.3941
4,408.736914534457,73.72208,335.0148
5,444.868059195929,435.5169,9.351183
6,449.244502213166,548.9871,-99.74262
7,423.87204111741,529.7432,-105.8712
8,463.097987038359,511.3269,-48.22889
9,426.352999672604,505.5622,-79.20917
10,379.824143165063,459.3574,-79.53325
11,8.27533799648165,178.682,-170.4066
12,0,39.79485,-39.79485
13,0,6.836535,-6.836535
14,0,-2.99507,2.99507
15,311.565074634064,28.6357,282.9294
16,358.324573331319,56.69577,301.6288
17,398.052786050498,455.2798,-57.22706
18,394.521393405657,454.0943,-59.57294
19,401.961581581186,442.8278,-40.86618
20,529.042045206324,453.9429,75.09914
21,371.858157587243,407.5202,-35.66208
22,0,-13.01329,13.01329
23,0,-13.05708,13.05708
24,379.298797951961,275.1505,104.1483
25,416.460177257145,477.141,-60.68078
26,449.922338730559,581.8994,-131.977
27,467.545241806498,449.5392,18.00606
28,478.902278124049,443.858,35.04425
29,473.261114522641,471.2101,2.051001
30,498.792471213357,497.2795,1.51293
31,121.183540234187,333.7224,-212.5388
32,4.75090688865168,133.213,-128.4621
33,0,1.945421,-1.945421
34,0,-6.911451,6.911451
35,0.141317500931052,5.469622,-5.328304
36,95.7770235852603,12.99928,82.77774
37,323.587065068844,58.41507,265.172
38,380.241453232084,279.8072,100.4343
39,452.700592168624,517.2728,-64.57217
40,419.863361011329,481.116,-61.25267
41,403.428610385566,434.5626,-31.13395
42,410.660648189928,424.8647,-14.20404
43,443.758638734471,351.5753,92.18329
44,256.202949578432,505.4977,-249.2948
45,4.89909220833499,126.9484,-122.0493
46,0.184417154162873,15.61101,-15.42659
47,0,-10.77641,10.77641
48,0,-2.681868,2.681868
49,452.01360175391,509.0439,-57.03028
50,455.105769197877,521.0439,-65.93812
51,444.738539200584,517.9459,-73.20732
52,381.929267459518,440.9591,-59.02984
53,398.351655509249,435.8283,-37.47665
54,451.364256277364,425.9155,25.44879
55,465.800068512537,424.9315,40.86861
56,479.554828439672,419.1566,60.39827
57,475.650089604564,419.6488,56.00132
58,447.840060956987,410.928,36.91202
59,286.240306471523,386.8783,-100.638
60,77.5681271515012,473.0604,-395.4923
61,23.6632367234709,412.7382,-389.075
62,0,200.2624,-200.2624
63,0,41.08278,-41.08278
64,0,7.057543,-7.057543
65,0,12.21904,-12.21904
66,0,-10.96177,10.96177
67,133.695329952882,23.35414,110.3412
68,405.072124980745,453.9401,-48.86797
69,435.781409178181,464.645,-28.86358
70,292.328819329617,318.1557,-25.82685
71,0,22.56865,-22.56865
72,0,-10.95772,10.95772
73,0,-3.908888,3.908888
74,0,-2.326033,2.326033
75,386.612996316492,271.1364,115.4766
76,437.791066117536,602.743,-164.9519
77,414.502527356142,502.6995,-88.19694
78,499.102048170192,463.0518,36.05023
79,4.98413344664726,176.5725,-171.5884
80,0,7.580126,-7.580126
81,0,4.005785,-4.005785
82,0,-9.939375,9.939375
83,0,62.55787,-62.55787
84,348.734625779552,438.1942,-89.45959
85,435.006381096361,529.0341,-94.02774
86,478.417652777177,516.4572,-38.03956
87,474.664100685945,550.3814,-75.71731
88,467.781172531921,587.0336,-119.2525
89,441.146693637715,619.6732,-178.5265
90,223.330878998703,187.8833,35.44762
91,167.615344250168,120.9252,46.69014
92,38.2092593338936,24.51665,13.69261
93,4.26056328471986,-5.720198,9.980761
94,2.53282135531737,6.408464,-3.875643
95,5,8.431536,-3.431536
96,0.492358766604582,10.51326,-10.0209
97,0,18.40914,-18.40914
98,473.074653953477,466.8409,6.233803
99,473.813781189398,476.4625,-2.648743
100,435.438442962358,484.4915,-49.0531
101,461.732785704433,500.2998,-38.56705
102,420.008182836408,520.0674,-100.0592
103,421.492207029663,529.6147,-108.1225
104,455.538790324856,545.7268,-90.18802
105,509.538078044833,587.7592,-78.22114
106,346.500376789021,401.7477,-55.2473
107,272.591365162674,320.1133,-47.52195
108,0,10.12529,-10.12529
109,0,-12.24852,12.24852
110,0.271140774322134,-0.5684032,0.8395439
111,0,10.25533,-10.25533
112,401.163942040154,493.3126,-92.14865
113,452.614547104579,591.3906,-138.7761
114,473.813748554434,464.0662,9.747556
115,456.018481034946,458.7893,-2.770826
116,436.178399491139,478.227,-42.04862
117,421.540388671368,497.5309,-75.99049
118,477.502535492853,534.2849,-56.78238
119,491.473586688024,477.4701,14.00352
120,475.355521414102,483.0816,-7.726113
121,304.516824144258,298.1656,6.351175
122,101.227101645405,87.41383,13.81327
