Sample,GRF_real,GRF_predito,Resíduo
1,0,81.50833,-81.50833
2,200.706487606285,121.4888,79.21774
3,447.200968459215,384.8525,62.34843
4,399.312159363642,405.7585,-6.446324
5,383.332794668757,412.7342,-29.4014
6,368.788536954038,413.0789,-44.29038
7,359.469006758432,416.0997,-56.63066
8,427.109904433268,483.0854,-55.97551
9,463.097987038359,518.0139,-54.91593
10,426.352999672604,487.2856,-60.93264
11,304.650761681835,428.1394,-123.4886
12,0,150.4738,-150.4738
13,0,103.5871,-103.5871
14,0.442478351315799,87.82761,-87.38512
15,0,87.88385,-87.88385
16,400.358883516599,200.7205,199.6384
17,423.799623086227,252.9162,170.8835
18,441.961427549116,415.1047,26.85675
19,445.745624642064,421.2731,24.47255
20,435.900327165299,451.4766,-15.57627
21,406.377668735817,428.9404,-22.56276
22,418.133730064432,520.3514,-102.2177
23,510.84283906727,518.5741,-7.731257
24,470.82263982242,488.6748,-17.8522
25,143.948344167072,405.1939,-261.2456
26,0,94.5186,-94.5186
27,0,94.41847,-94.41847
28,0,91.52974,-91.52974
29,0,95.25409,-95.25409
30,170.364973222177,81.62474,88.74023
31,437.609551381258,405.4866,32.12298
32,418.987919992923,433.1833,-14.19534
33,417.948893819512,444.9258,-26.97695
34,500.269521368075,543.7559,-43.4864
35,476.942422506292,501.9101,-24.96764
36,441.677068107407,479.8456,-38.16851
37,235.963697621995,343.4543,-107.4906
38,1.94873700534572,128.2125,-126.2638
39,1.31663741977275,113.0519,-111.7353
40,0,115.0007,-115.0007
41,402.355749898128,299.8223,102.5335
42,455.423942250191,381.7448,73.67913
43,405,409.1257,-4.125732
44,397.281632558158,407.5276,-10.24596
45,489.721725066039,484.1609,5.560867
46,470.562456888007,448.6841,21.8784
47,399.767571459578,442.6206,-42.853
48,81.9187498259899,411.7192,-329.8004
49,0.184417154162873,101.5514,-101.367
50,0,89.93361,-89.93361
51,0,88.22748,-88.22748
52,0,79.64999,-79.64999
53,0,82.78171,-82.78171
54,0.0235665261841405,75.66716,-75.64359
55,416.501971221448,250.1065,166.3954
56,396.507359128884,427.9318,-31.42443
57,390.411955393245,390.1766,0.2353196
58,465.800068512537,456.1714,9.628713
59,479.554828439672,455.0596,24.49526
60,421.886911703196,421.8552,0.03174813
61,136.904528959912,497.5581,-360.6536
62,77.5681271515012,459.7721,-382.204
63,0,92.92882,-92.92882
64,0,93.61507,-93.61507
65,0,98.71628,-98.71628
66,0,94.30824,-94.30824
67,0,90.3555,-90.3555
68,385.004541692589,409.6932,-24.68867
69,489.56824233371,492.299,-2.730708
70,376.819086538393,484.0393,-107.2203
71,156.107303816204,420.2718,-264.1645
72,37.5018296262611,319.4731,-281.9713
73,0,89.78799,-89.78799
74,0,89.83876,-89.83876
75,0,89.9315,-89.9315
76,376.769664197858,218.1253,158.6444
77,429.308511325115,429.8922,-0.5837311
78,464.506189559484,418.6594,45.84677
79,421.769374983704,423.457,-1.687626
80,414.502527356142,431.6709,-17.1684
81,443.357082342967,440.0051,3.352016
82,340.479713018269,382.2605,-41.78075
83,9.96229158437944,299.8121,-289.8498
84,0,76.63609,-76.63609
85,0,72.81499,-72.81499
86,223.873170238753,251.0988,-27.22566
87,435.006381096361,410.1277,24.87864
88,471.119968742263,431.2317,39.88825
89,467.781172531921,565.9586,-98.17744
90,441.146693637715,616.7112,-175.5645
91,452.076351444297,634.0695,-181.9931
92,509.739915079661,607.984,-98.24409
93,503.552880187947,600.3937,-96.84086
94,99.9824531279902,148.3659,-48.38348
95,1.42966813300961,86.70825,-85.27859
96,0,97.58739,-97.58739
97,388.770247766181,287.249,101.5213
98,404.12679683554,381.8838,22.24298
99,429.543214289897,394.3417,35.20151
100,449.798369577004,397.343,52.45532
101,473.074653953477,384.551,88.52369
102,493.238208054242,427.4551,65.7831
103,484.62157849944,433.3831,51.23852
104,454.029919397237,442.435,11.59495
105,435.438442962358,469.7173,-34.27887
106,421.492207029663,593.5335,-172.0413
107,407.157456583869,432.9119,-25.75444
108,87.6237436449455,159.7257,-72.10197
109,2.75221225262732,63.23363,-60.48142
110,0,66.00159,-66.00159
111,342.623131994892,269.6933,72.9298
112,430.664746221422,406.2411,24.42363
113,466.501104037253,455.7197,10.78141
114,456.018481034946,458.6216,-2.603132
115,436.178399491139,482.6863,-46.50794
116,435.519196506924,564.1974,-128.6783
117,457.486734919696,532.7717,-75.28493
118,477.502535492853,531.1069,-53.60434
119,224.488308261667,313.9062,-89.41791
120,1.57069294488525,73.69057,-72.11987
121,2.74940801020989,80.60164,-77.85223
122,366.188889154685,270.7906,95.39833
123,388.271203910489,365.2419,23.02935
124,461.302305893759,371.1017,90.20065
125,443.187359903506,411.0265,32.1609
126,385.261656500111,464.4297,-79.168
127,389.475258652341,517.4242,-127.9489
128,475.630715431433,442.9592,32.67152
129,382.400523322605,360.938,21.46254
130,4.97834733527151,97.44098,-92.46263
131,2.08414446105297,88.02827,-85.94413
132,0,74.32474,-74.32474
133,0,74.57504,-74.57504
134,0.0403890369552187,75.46565,-75.42526
135,277.46854558424,227.9458,49.52271
136,376.83647484863,365.0431,11.79338
137,437.000000000082,399.2146,37.78537
138,463.64214132511,403.4469,60.19524
139,480.472461927968,415.8834,64.5891
140,475.141606654272,422.1765,52.96509
141,468.160178372576,428.4012,39.75896
142,431.199701356466,563.5034,-132.3037
143,436.853030162007,549.7823,-112.9293
144,442.994372120043,543.9562,-100.9619
145,480.025775442269,425.2598,54.76598
146,459.505903261923,402.8799,56.62605
147,5.30690565399101,96.50494,-91.19804
148,2.50445875226802,79.94347,-77.43901
149,2.71396760214299,73.00272,-70.28875
150,1.13961621864604,73.94269,-72.80307
151,0.755210838848086,56.14769,-55.39248
152,343.533689573561,272.6559,70.87784
153,458.178908384883,408.6137,49.56523
154,465.884568429029,436.6338,29.25078
155,468.721418920186,447.6277,21.0937
156,512.608489043589,513.8378,-1.229341
157,519.263375829728,491.8311,27.43229
158,502.745257488823,391.6641,111.0812
159,173.350730830568,259.5091,-86.15839
160,48.3969672055461,134.3379,-85.94094
161,0.682697860193002,98.46214,-97.77944
162,465.457646965515,431.4576,34.00003
163,442.556342171979,449.596,-7.039636
164,426.999999999939,450.4592,-23.45917
165,437.997730648631,508.6014,-70.60368
166,453.275101274184,502.8247,-49.54964
167,476.574580399037,495.8548,-19.28025
168,483.48406781737,425.0188,58.46527
169,388.457613190788,380.3429,8.114748
170,346.130136023217,353.895,-7.764853
171,271.941647235183,311.3532,-39.41153
172,34.2899520283776,139.102,-104.812
173,1.97120508630485,79.24525,-77.27405
174,4.77829039802089,88.10936,-83.33107
175,0,80.80405,-80.80405
176,4.99576988926208,89.49899,-84.50322
177,161.472040283974,223.0482,-61.57613
178,268.610638887775,246.6452,21.96544
179,374.048023272808,361.9817,12.06636
180,477.28676100492,431.8473,45.4395
181,457.376080656696,450.9488,6.42732
182,410.293702676652,557.7675,-147.4738
183,395.521957684216,535.8392,-140.3173
184,490.167025574846,303.0529,187.1142
185,376.575221161572,268.1475,108.4277
186,175.351796450715,288.9972,-113.6454
187,5.53803604353379,191.4446,-185.9066
188,0,128.1008,-128.1008
189,147.912611180058,164.5738,-16.6612
190,373.07331391201,252.1904,120.8829
191,409.402900673576,401.0829,8.319984
192,439.527877248346,366.4252,73.10265
193,464.058561778052,372.7679,91.29071
194,3.38092417147783,242.7892,-239.4082
195,0,155.7971,-155.7971
196,0,143.146,-143.146
197,0,125.3281,-125.3281
198,0,131.8306,-131.8306
199,454.345026413717,419.2771,35.06796
200,493.043128190862,397.6046,95.43851
201,403.59885307544,453.5703,-49.97149
202,196.066877901409,441.3672,-245.3003
203,381.58690338963,231.0259,150.561
204,395.917480521705,266.0255,129.892
205,458.001076961836,415.4764,42.52464
206,423.823487511851,407.1828,16.64072
207,498.59381434609,423.424,75.1698
208,513.660228484029,411.8488,101.8115
209,509.578061052675,476.4301,33.14798
210,415.816682878606,519.7783,-103.9616
211,7.92825319659039,272.5089,-264.5807
212,0,128.1953,-128.1953
213,0,113.3343,-113.3343
214,0,111.9716,-111.9716
215,321.39826043932,161.0141,160.3842
216,382.388844171299,226.0147,156.3741
217,475.783729549921,371.707,104.0768
218,472.958924572251,374.3074,98.65155
219,452.030776103742,377.4286,74.60213
220,226.764893211642,383.0905,-156.3256
221,0,106.2624,-106.2624
222,0,109.0323,-109.0323
223,351.876201444388,208.1541,143.7221
224,445.581228053962,420.386,25.19524
225,437.052930716818,518.947,-81.89403
226,376.868077088906,508.0463,-131.1782
227,273.823118685601,498.0365,-224.2133
228,19.2781790563538,397.905,-378.6268
229,0,115.2501,-115.2501
230,0,114.5352,-114.5352
231,49.5591905215654,139.072,-89.51279
232,337.258668242761,175.6748,161.5839
233,370.135575945203,221.1888,148.9467
234,417.954493283288,275.0642,142.8903
235,457.642837089283,419.9518,37.69099
236,419.821533693126,417.5452,2.276337
237,487.695996548327,422.7716,64.92442
238,507.301868614579,486.4161,20.88573
239,3.04772094328467,159.1115,-156.0638
240,0,117.3007,-117.3007
241,447.475197654422,410.9171,36.55808
242,403.012417466068,413.0428,-10.03043
243,454.711775293766,419.9026,34.80922
244,417.399757728859,471.0523,-53.65258
245,328.596536164322,459.3977,-130.8012
246,233.054484217258,460.9161,-227.8616
247,76.9897351037727,430.1711,-353.1814
248,2.99882109003846,206.7766,-203.7777
249,0,143.7786,-143.7786
250,0,127.246,-127.246
251,169.911880780043,142.3385,27.57343
252,383.01961852968,221.0523,161.9674
253,470.488193049091,408.7245,61.76368
254,399.768000264652,429.2593,-29.49131
255,465.714736907015,402.0992,63.61555
256,465.016834868375,464.5932,0.4236647
257,0,123.8533,-123.8533
258,0,122.0649,-122.0649
259,0,122.8623,-122.8623
260,256.725270417802,147.213,109.5123
261,3.61740843531209,219.6176,-216.0002
262,6.07952378207847,217.0778,-210.9983
263,7.17793614504825,248.7857,-241.6078
264,324.385545308589,139.3755,185.01
265,407.649240780696,188.4403,219.2089
266,417.564298544021,393.1479,24.41635
267,513.060273085001,469.2221,43.83817
268,508.286018387242,477.5213,30.76472
269,343.038465905057,455.7313,-112.6929
270,161.480911950646,179.0488,-17.56784
271,15.2019923793603,82.76019,-67.5582
272,13.5909782380464,91.49518,-77.9042
273,4.25729666900696,93.10655,-88.84926
274,2.26027208491035,83.00893,-80.74866
275,389.791131651421,319.2357,70.55541
276,481.136883371417,430.6139,50.52296
277,419.109227842444,458.5744,-39.46521
278,407.187390525037,480.1759,-72.98851
279,511.469839677894,492.2663,19.20351
280,5.1298332533936,82.95465,-77.82481
281,6.24980791766637,84.15332,-77.90351
282,13.7792222842979,183.8086,-170.0294
283,446.045797874092,386.8427,59.20312
284,476.265516164273,418.9062,57.35936
285,441.938911026402,426.8639,15.07505
286,450.093312699134,495.4955,-45.40223
287,471.517940834428,498.8305,-27.31256
288,460.089556789811,467.235,-7.145398
289,459.431500467465,478.0629,-18.6314
290,495,535.4173,-40.4173
291,20.2738447241009,106.7823,-86.50851
292,1.27570642186413,74.7762,-73.5005
293,0,80.1514,-80.1514
294,0,87.27757,-87.27757
295,0,85.75948,-85.75948
296,433.560588264181,434.8062,-1.245564
297,497.865055455237,431.8337,66.03132
298,433.150860735507,493.6956,-60.5447
299,487.073889973726,481.2648,5.809089
300,387.180246596431,488.099,-100.9187
301,197.098894649763,282.6769,-85.57802
302,0.354262982885132,120.996,-120.6417
303,0,113.9071,-113.9071
304,0,85.5815,-85.5815
305,359.617661485929,331.3445,28.27321
306,477.454690963927,423.4516,54.00306
307,443.16896366419,495.7177,-52.54869
308,476.863172249251,483.2217,-6.358538
309,458.102371928874,470.0416,-11.93922
310,464.764247427472,477.1652,-12.40094
311,0.373431569350657,77.91893,-77.5455
312,344.206723320562,246.3543,97.8524
313,425.249996089944,472.9057,-47.65574
314,460.449081272587,481.9243,-21.47523
315,474.918341111082,470.9652,3.953162
316,505.299206317601,471.6893,33.60987
317,495.135986233796,485.368,9.767975
318,3.08133316990654,89.16512,-86.08378
319,3.70833797018503,99.81972,-96.11138
320,16.7712483744194,118.564,-101.7927
321,381.016320064071,321.6226,59.39376
322,462.831087894575,420.497,42.33405
323,443.950260068369,494.6446,-50.69433
324,465.416844722801,535.4706,-70.05373
325,497.36753526118,526.0575,-28.68996
326,0.171737398074754,83.39166,-83.21992
327,18.284348878732,120.887,-102.6026
328,223.250881209293,183.099,40.15191
329,345.789323295238,232.3483,113.4411
330,473.787893476118,407.3267,66.4612
331,492.72012944959,413.3957,79.32441
332,472.708663009707,468.2837,4.425002
333,505.777390744452,498.2327,7.544664
334,493.068727734766,489.3829,3.685793
335,140.466894211311,185.8993,-45.4324
336,8.99999999992775,67.23187,-58.23187
337,5.22962014909649,82.52809,-77.29847
338,5,72.26642,-67.26642
339,376.372167666608,287.9648,88.40733
340,479.419277363005,442.4744,36.94491
341,491.691916252429,444.5381,47.1538
342,467.119756413861,497.1833,-30.06353
343,486.429493364808,465.2542,21.17525
344,501.540813414328,480.5412,20.99961
345,482.168815752926,511.5461,-29.37733
346,256.843609236118,410.0736,-153.23
347,237.897864357698,334.9714,-97.07357
348,238.856727635802,332.6013,-93.74462
349,248.426832040389,367.7433,-119.3165
350,235.029004578746,385.9473,-150.9183
351,214.427342632897,273.7049,-59.27755
352,234.4190631446,271.3024,-36.88334
353,219.549770424702,276.1974,-56.64759
354,58.6489827487701,356.3261,-297.6772
355,30.95451769088,353.246,-322.2914
356,1.96499505992682,340.3397,-338.3747
357,0,266.3832,-266.3832
358,0,134.7323,-134.7323
359,0,150.3167,-150.3167
360,3.00278185021153,162.0186,-159.0158
361,153.273502738445,205.9168,-52.64334
362,399.813313684438,345.5135,54.29979
363,398.505196145253,367.6603,30.84492
364,12.8551877109319,397.918,-385.0628
365,0,118.7031,-118.7031
366,0,119.2121,-119.2121
367,237.542484707816,138.9675,98.57497
368,329.909057722947,418.7985,-88.88943
369,574.1317153773,415.3919,158.7398
370,639.75281202434,419.3444,220.4084
371,665.224383963067,431.3501,233.8743
372,117.751274031872,484.106,-366.3547
373,13.1290173482743,350.2504,-337.1213
374,0,70.79134,-70.79134
375,483.468385629588,329.3403,154.1281
376,485.217401500848,483.8322,1.385187
377,286.126546535243,483.3047,-197.1782
378,245.277835516657,477.1357,-231.8579
379,0.443333137482455,341.9572,-341.5139
380,1.11456475168433,187.5231,-186.4086
381,0,110.9121,-110.9121
382,509.618281634275,390.5256,119.0927
383,294.115505341078,386.0535,-91.93799
384,0.874214280663523,248.0818,-247.2076
385,0,61.24779,-61.24779
386,0,138.1799,-138.1799
387,515.8163385611,246.725,269.0913
388,531.024909469068,357.1551,173.8698
389,322.218132514985,410.0708,-87.85264
390,300.141314843151,441.6178,-141.4765
391,0,89.81169,-89.81169
392,0,55.95974,-55.95974
393,11.6078526189142,166.9554,-155.3475
394,308.657344164937,365.3605,-56.70319
395,437.756914981206,428.5999,9.157062
396,0,78.73741,-78.73741
397,0,94.57326,-94.57326
398,460.26791794877,206.6946,253.5733
399,511.509801008765,370.4907,141.0191
400,382.197092637137,423.4364,-41.23928
401,231.636458645305,362.0372,-130.4007
402,372.013753321582,380.3799,-8.36616
403,534.320728993411,375.4518,158.8689
404,0,116.4158,-116.4158
405,179.522012841734,267.712,-88.19003
406,193.614876319602,299.3157,-105.7009
407,188.560748900148,287.311,-98.75029
408,182.702816280198,282.966,-100.2632
409,174.908189627078,318.8783,-143.9701
410,171.535249231094,282.5215,-110.9863
411,179.275218801713,308.5352,-129.26
412,224.741808832638,309.5126,-84.7708
413,270.678386126746,309.6157,-38.93734
414,350.532499043134,309.6578,40.87472
415,390.094017080641,309.6242,80.46984
416,411.922969993898,309.5109,102.412
417,379.182989817782,310.2419,68.94105
418,376.168345606726,311.3671,64.80122
419,469.128275177492,330.7976,138.3306
420,456.767145125297,364.3871,92.38003
421,277.822403833104,352.0862,-74.26375
422,75.915997510303,116.2131,-40.29708
423,0,100.0714,-100.0714
424,156.128731237447,107.8362,48.29255
425,424.569862675306,349.4755,75.09434
426,392.748928102588,383.0253,9.72366
427,38.766831398585,146.5588,-107.792
428,423.914408782533,464.6903,-40.77593
