Sample,GRF_real,GRF_predito,Resíduo
1,0,-3.683424,3.683424
2,0,-0.3901805,0.3901805
3,326.732301373158,103.3557,223.3766
4,470.767314964247,527.2335,-56.46621
5,472.487253049396,528.9595,-56.47222
6,379.824143165063,484.5874,-104.7632
7,78.7797586685243,403.2262,-324.4464
8,0.15557413119592,-7.869978,8.025552
9,0,-3.809919,3.809919
10,456.42186206407,400.9655,55.45635
11,428.861084314748,394.4564,34.40466
12,394.521393405657,397.2807,-2.759277
13,401.961581581186,477.9469,-75.98532
14,529.042045206324,487.9712,41.07082
15,507.542948905853,459.4511,48.09181
16,484.664514927632,466.709,17.95553
17,434.448710258805,443.2639,-8.815236
18,285.742922408855,391.9428,-106.1999
19,206.915758746081,392.5162,-185.6005
20,0,-4.640303,4.640303
21,0,-6.088514,6.088514
22,0,2.487413,-2.487413
23,366.306246005505,214.3512,151.955
24,407.891384569164,330.8726,77.0188
25,473.261114522641,523.9634,-50.70226
26,498.792471213357,504.5016,-5.709146
27,50.1614564449138,220.759,-170.5975
28,0,1.590838,-1.590838
29,0.141317500931052,28.98296,-28.84164
30,410.660648189928,473.0888,-62.42819
31,495.141173110422,559.0074,-63.86621
32,443.758638734471,467.7824,-24.0238
33,23.9018233463406,196.5329,-172.631
34,1.85490677950469,40.80208,-38.94717
35,0,0.1433583,-0.1433583
36,0,-5.500624,5.500624
37,0,0.06526383,-0.06526383
38,256.241637442015,48.34209,207.8996
39,344.299231986547,95.48967,248.8096
40,444.738539200584,321.9664,122.7721
41,398.351655509249,363.8366,34.51505
42,384,419.7271,-35.72714
43,434.061970678603,458.8399,-24.7779
44,475.650089604564,463.5224,12.12772
45,205.373453254071,426.31,-220.9365
46,8.89086878006691,174.7114,-165.8205
47,1.42570154846027,76.8916,-75.4659
48,0,-5.518568,5.518568
49,8.17415491559944,22.80828,-14.63412
50,291.184394566573,94.78191,196.4025
51,447.81024096395,336.0833,111.727
52,435.951334706875,353.1346,82.81675
53,422.590137478867,374.5689,48.02126
54,420.901552543762,482.2066,-61.30502
55,426.565357882451,506.3636,-79.79823
56,487.665047261227,501.3714,-13.70632
57,458.229746833452,489.6897,-31.45998
58,217.223781238126,427.5631,-210.3393
59,0,44.73275,-44.73275
60,0,35.16884,-35.16884
61,0,1.871233,-1.871233
62,0,-6.030989,6.030989
63,0,-4.561506,4.561506
64,0,2.232653,-2.232653
65,217.501239716644,48.89428,168.607
66,427.869216126988,420.5882,7.28102
67,426.688769509586,430.9269,-4.238111
68,489.854572736539,489.4674,0.387196
69,200.823100639068,444.2835,-243.4604
