Sample,GRF_real,GRF_predito,Resíduo
1,0,80.81996,-80.81996
2,0,74.23506,-74.23506
3,30.0697656692066,73.27689,-43.20712
4,446.133491367923,336.1943,109.9392
5,449.244502213166,320.4886,128.756
6,441.637424310124,356.3126,85.32483
7,405.810280114121,462.4211,-56.6108
8,405.003981921858,462.06,-57.05602
9,448.543592942867,515.0948,-66.55119
10,475.243812024069,524.4161,-49.17226
11,229.399889825309,466.5252,-237.1253
12,0,79.29323,-79.29323
13,0,78.55223,-78.55223
14,0,53.74395,-53.74395
15,0,43.4309,-43.4309
16,46.7307215877203,37.02816,9.702565
17,202.319063795813,53.51104,148.808
18,453.705794914154,386.6761,67.02965
19,443.815438394477,401.7189,42.09657
20,418.923373844863,413.7182,5.205142
21,387.489772496755,361.5771,25.91272
22,391.085424134719,428.5025,-37.41711
23,371.858157587243,480.2632,-108.4051
24,24.483741008029,170.9686,-146.4849
25,6.61593148470706,150.2463,-143.6304
26,0,76.11752,-76.11752
27,0,54.91921,-54.91921
28,1.53090518520378,46.98574,-45.45483
29,0,44.78371,-44.78371
30,379.298797951961,245.4931,133.8057
31,416.460177257145,412.3624,4.097812
32,425.611598623896,438.963,-13.35141
33,422.296516301276,443.8947,-21.59823
34,421.307451644918,445.7793,-24.47182
35,437.717506727665,446.4463,-8.728783
36,507.848113837677,516.4738,-8.625702
37,514.352481945342,467.0511,47.3014
38,174.496524365938,382.4175,-207.921
39,4.75090688865168,162.004,-157.2531
40,0,73.39998,-73.39998
41,0,72.95523,-72.95523
42,0,62.44757,-62.44757
43,420.918418242488,405.9363,14.98208
44,453.922833328878,375.3248,78.59801
45,452.700592168624,352.3285,100.3721
46,403.428610385566,401.579,1.849631
47,438.957148242913,447.2021,-8.244969
48,472.917140972187,491.3366,-18.4195
49,470.194503405229,523.4337,-53.23921
50,481.878294381956,533.397,-51.51874
51,499.410735063365,487.9435,11.46728
52,487.357099226152,494.6169,-7.259783
53,336.737435395441,418.572,-81.83456
54,1.80690525541905,106.1649,-104.358
55,0.440355337392248,66.6651,-66.22475
56,0,63.56462,-63.56462
57,0,62.73156,-62.73156
58,0,56.72638,-56.72638
59,438.669909296373,380.6949,57.97499
60,455.105769197877,353.346,101.7598
61,425.790499878999,368.933,56.85746
62,381.539131174859,385.6914,-4.152245
63,437.877734258792,489.9649,-52.08714
64,451.364256277364,510.6518,-59.28751
65,364.552955545162,441.167,-76.61401
66,0,94.3231,-94.3231
67,0,76.66191,-76.66191
68,0,71.2762,-71.2762
69,0,51.15899,-51.15899
70,408.597074119407,389.4493,19.14776
71,405.072124980745,413.9207,-8.848529
72,376.400419117067,370.8467,5.553679
73,395.224408292886,459.7381,-64.51369
74,435.781409178181,521.1011,-85.31966
75,101.324328046276,342.7378,-241.4135
76,11.9547448171581,180.2416,-168.2868
77,0,71.93944,-71.93944
78,0,56.39115,-56.39115
79,37.2069986383403,43.65261,-6.445608
80,402.472157446116,386.2406,16.23153
81,437.791066117536,403.0468,34.74428
82,447.999999999966,446.2498,1.750153
83,439.03824721498,454.7737,-15.7355
84,413.999999999992,427.4853,-13.48532
85,448.156505042871,460.6774,-12.52086
86,474.219671409563,508.1631,-33.94341
87,0,59.22803,-59.22803
88,0,47.81389,-47.81389
89,0,48.89049,-48.89049
90,2,80.6797,-78.6797
91,0,165.5099,-165.5099
92,0,171.3748,-171.3748
93,34.994262365168,203.1971,-168.2028
94,473.595984234628,492.757,-19.16101
95,459.713792551105,595.5132,-135.7995
96,424.711506155499,439.8751,-15.16356
97,5,52.79766,-47.79766
98,3.79005330769564,52.65673,-48.86667
99,2,52.56887,-50.56887
100,1.9640156949165,59.65996,-57.69595
101,2,102.8666,-100.8666
102,436.195164185205,448.6461,-12.45098
103,441.055044657268,526.4471,-85.3921
104,476.887271817589,491.3683,-14.48101
105,272.591365162674,413.1322,-140.5408
106,159.067398857162,175.1896,-16.12218
107,15.8814603127583,57.41977,-41.53831
108,5,44.13588,-39.13588
109,1.02725022553108,45.5588,-44.53155
110,0.271140774322134,41.82418,-41.55304
111,0,76.86346,-76.86346
112,63.1611942028532,161.5383,-98.37712
113,394.848355133323,383.9608,10.8876
114,402.22950669458,513.0594,-110.8299
115,439.288044357906,526.8181,-87.53007
116,487.634312263293,477.4206,10.21375
117,496.494311373425,507.9749,-11.48057
118,304.516824144258,394.3549,-89.8381
119,101.227101645405,119.7122,-18.48506
120,6.58597194234574,50.68605,-44.10008
121,4.6803824340775,49.62362,-44.94323
122,3.54255788382847,51.04204,-47.49949
123,2.96924072310952,44.66964,-41.70039
124,9,38.60515,-29.60515
125,6.48048878662996,90.64436,-84.16387
126,474,399.2707,74.72934
127,478.662465737073,406.1328,72.52962
128,395.737040086772,492.6852,-96.94811
129,388.399738229775,520.9715,-132.5718
130,436.883258491369,406.3019,30.58138
131,0.0851337955087956,48.72051,-48.63538
132,3.99133644297501,46.47683,-42.48549
133,466.733613648408,446.3698,20.36377
134,446.580515819185,429.5101,17.07041
135,432.217363987545,528.5945,-96.37712
136,462.728098470106,471.6672,-8.939076
137,478.046237075703,452.0785,25.96772
138,245.909957287318,345.2181,-99.30815
139,8.59731356747739,65.50397,-56.90665
140,6.92110941025362,50.11571,-43.1946
141,2.31168418579296,49.28051,-46.96882
142,2.59083536507222,58.50753,-55.91669
143,2,72.87711,-70.87711
144,0,126.5858,-126.5858
