Fold,RMSE,rRMSE,R2
1,105.817878723145,7.05491257511275,0.855856657028198
2,108.179481506348,7.59643949831674,0.848587810993195
3,99.4225158691406,6.45031575171531,0.872479200363159
4,101.111968994141,6.9095299093418,0.868726134300232
5,101.567199707031,6.53006803948393,0.86564439535141
