Sample,GRF_real,GRF_predito,Resíduo
1,0,1.955767,-1.955767
2,0,3.337511,-3.337511
3,0,6.914812,-6.914812
4,30.0697656692066,10.8669,19.20287
5,326.732301373158,25.43682,301.2955
6,446.133491367923,281.1935,164.94
7,444.913813285081,434.6052,10.30859
8,449.244502213166,515.98,-66.73554
9,441.637424310124,513.0278,-71.39041
10,448.543592942867,496.2516,-47.70796
11,472.487253049396,475.231,-2.743735
12,0,-1.47566,1.47566
13,0,-10.0302,10.0302
14,0,-8.069014,8.069014
15,0,5.275408,-5.275408
16,202.319063795813,14.30672,188.0123
17,358.324573331319,31.90376,326.4208
18,453.705794914154,620.9971,-167.2913
19,428.861084314748,595.9578,-167.0967
20,418.133730064432,487.1065,-68.97275
21,1.97677795743857,24.68074,-22.70396
22,0,2.925859,-2.925859
23,0,-3.863386,3.863386
24,0,-4.329054,4.329054
25,0,-11.82835,11.82835
26,1.53090518520378,-10.43681,11.96772
27,0,1.653978,-1.653978
28,21.3629991748494,8.184679,13.17832
29,379.298797951961,220.9498,158.349
30,451.319796913333,488.8198,-37.49997
31,448.277630896829,404.3668,43.91087
32,467.545241806498,419.3513,48.19395
33,507.848113837677,521.7615,-13.91336
34,235.963697621995,306.5482,-70.58446
35,174.496524365938,278.4968,-104.0002
36,0,112.3983,-112.3983
37,0,2.070635,-2.070635
38,420.918418242488,379.61,41.30837
39,458.860102205593,478.0137,-19.15363
40,419.863361011329,447.3086,-27.4452
41,408.183283740654,438.6467,-30.46345
42,472.917140972187,442.1954,30.72177
43,487.357099226152,449.7604,37.59672
44,399.767571459578,281.5696,118.1979
45,336.737435395441,259.2419,77.49558
46,0,-4.546492,4.546492
47,0,-10.92781,10.92781
48,0,2.403063,-2.403063
49,450.860811615629,404.1719,46.68894
50,455.105769197877,436.7144,18.39135
51,444.738539200584,442.5995,2.138991
52,437.877734258792,425.3664,12.51134
53,451.364256277364,397.2259,54.13834
54,364.552955545162,248.6418,115.9112
55,136.904528959912,279.7825,-142.878
56,77.5681271515012,271.3221,-193.7539
57,1.42570154846027,94.64467,-93.21896
58,0,-1.17433,1.17433
59,0,-7.237196,7.237196
60,0,-3.801497,3.801497
61,133.695329952882,14.23833,119.457
62,365.984801241461,29.95326,336.0315
63,393.983175995751,271.2125,122.7707
64,449.682271872189,445.8494,3.832876
65,435.951334706875,443.7119,-7.760549
66,420.901552543762,371.0599,49.84168
67,489.56824233371,423.1028,66.46546
68,479.312229423997,411.8661,67.44614
69,156.107303816204,273.2478,-117.1405
70,37.5018296262611,209.2555,-171.7537
71,0,-4.985182,4.985182
72,0,-8.56642,8.56642
73,0,-2.694807,2.694807
74,0,1.885058,-1.885058
