Sample,GRF_real,GRF_predito,Resíduo
1,0,9.188555,-9.188555
2,383.332794668757,459.6945,-76.36169
3,427.109904433268,492.7328,-65.62286
4,470.767314964247,473.0996,-2.332325
5,463.097987038359,512.2045,-49.10648
6,8.27533799648165,122.8943,-114.619
7,1.39554620975809,3.873156,-2.477609
8,0.442478351315799,0.8211232,-0.3786448
9,0,0.7461415,-0.7461415
10,0,5.798479,-5.798479
11,46.7307215877203,7.874102,38.85662
12,311.565074634064,15.57912,295.986
13,400.358883516599,116.0125,284.3464
14,438.517326123843,427.262,11.2553
15,456.42186206407,614.568,-158.1461
16,418.923373844863,470.5587,-51.63531
17,379.237764088387,443.4638,-64.22604
18,528.170931034193,436.6345,91.53641
19,470.82263982242,478.1855,-7.362907
20,206.915758746081,406.4727,-199.557
21,0.582032134728308,33.50283,-32.9208
22,0,3.517565,-3.517565
23,293.105464273835,12.88799,280.2175
24,448.481725150919,513.5623,-65.08059
25,418.987919992923,448.2764,-29.28845
26,419.231387091764,472.8979,-53.66653
27,500.269521368075,423.2127,77.05679
28,498.792471213357,413.3556,85.43691
29,501.53409749821,472.4633,29.07075
30,476.942422506292,455.6699,21.2725
31,9.66606549202629,134.207,-124.5409
32,4.75090688865168,102.6206,-97.8697
33,0,-0.1040477,0.1040477
34,0,3.329302,-3.329302
35,366.204559303326,144.7511,221.4535
36,455.423942250191,441.1415,14.28246
37,423.869501251795,438.8763,-15.00681
38,398.940759451638,442.3433,-43.4025
39,410.660648189928,390.0418,20.61884
40,458.969848724844,379.4303,79.53952
41,481.878294381956,357.0673,124.811
42,507.136374664183,332.7711,174.3652
43,489.721725066039,441.3192,48.40257
44,136.159465046916,380.8633,-244.7038
45,10.5610486876466,121.7488,-111.1877
46,1.85490677950469,21.43013,-19.57523
47,0,5.08803,-5.08803
48,0.440355337392248,4.389849,-3.949493
49,0,-1.176924,1.176924
50,0,5.273607,-5.273607
51,256.241637442015,16.94655,239.2951
52,416.501971221448,341.5267,74.97527
53,438.669909296373,407.343,31.32692
54,396.507359128884,447.1993,-50.69192
55,390.411955393245,452.4336,-62.02164
56,465.800068512537,406.7603,59.03972
57,0,85.79008,-85.79008
58,447.81024096395,441.2553,6.554961
59,378.001092148787,445.1907,-67.18964
60,435.781409178181,421.6579,14.12351
61,490.773790599225,433.9171,56.85665
62,376.819086538393,447.0642,-70.24512
63,11.9547448171581,102.7102,-90.75549
64,0,2.08803,-2.08803
65,37.2069986383403,5.657396,31.5496
66,402.472157446116,379.847,22.62514
67,429.308511325115,453.9761,-24.66756
68,449.42179749328,534.7224,-85.30061
69,462.13209546476,531.8077,-69.67558
70,451.49537087388,503.7088,-52.21343
71,413.999999999992,473.7729,-59.77292
72,448.156505042871,507.0803,-58.92379
73,462.59212998806,444.5385,18.05359
74,88.4600878283344,310.0494,-221.5893
75,0,4.70122,-4.70122
76,0,0.9989491,-0.9989491
77,0,0.6912404,-0.6912404
78,0,102.3364,-102.3364
79,0,20.91567,-20.91567
80,1.27914137899768,20.24663,-18.96749
81,34.994262365168,29.16802,5.826246
82,410.42371051612,409.9603,0.4634139
83,471.119968742263,535.8618,-64.74184
84,444.3480994077,513.4813,-69.13316
85,486.491600788364,523.9734,-37.48185
86,502.643137169086,628.3259,-125.6828
87,476.286763791782,614.1796,-137.8929
88,383.496185429777,446.9185,-63.42227
89,5,-4.448652,9.448652
90,2,-0.08128158,2.081282
91,1.9640156949165,0.5921193,1.371896
92,0,15.27446,-15.27446
93,388.770247766181,365.807,22.96327
94,385.700595360991,402.7164,-17.01577
95,443.504448303914,517.4743,-73.96986
96,421.492207029663,467.9567,-46.46449
97,159.067398857162,121.7437,37.32365
98,7.28931565493747,-0.1659679,7.455284
99,0.563737463980942,-3.422804,3.986541
100,2.75221225262732,3.948198,-1.195986
101,0,-0.9789256,0.9789256
102,0,-9.761427,9.761427
103,0,-7.004408,7.004408
104,0,-0.7794933,0.7794933
105,394.848355133323,360.1439,34.70443
106,430.664746221422,394.3134,36.35139
107,486.284618798294,463.8065,22.4781
108,473.813748554434,492.3481,-18.5343
109,448.014709018136,476.5256,-28.51093
110,491.473586688024,530.6183,-39.14476
111,9,2.23723,6.76277
112,315.839897227316,252.0811,63.75877
113,395.737040086772,512.8329,-117.0959
114,425.450165001282,473.502,-48.05188
115,475.630715431433,544.1213,-68.49062
116,322.860738692836,357.6823,-34.82161
117,0.0851337955087956,1.527025,-1.441892
118,1.85280483046819,4.085924,-2.233119
119,0,9.093798,-9.093798
120,468.160178372576,500.7906,-32.63041
121,466.733613648408,490.6507,-23.91708
122,446.580515819185,485.5598,-38.97933
123,432.217363987545,475.334,-43.11662
124,478.046237075703,515.6428,-37.59652
125,334.432501189603,377.0336,-42.60113
126,5.30690565399101,-7.733351,13.04026
127,2.31168418579296,-4.712233,7.023917
128,2.32954306381811,0.701952,1.627591
129,2,1.641527,0.3584727
130,0,7.630602,-7.630602
131,343.533689573561,282.5068,61.02686
132,458.178908384883,476.9454,-18.76646
133,465.884568429029,480.8419,-14.95729
134,469.765352426936,513.1533,-43.38791
135,470.733361323248,524.9974,-54.26402
136,513.690226427626,503.9463,9.743907
137,519.263375829728,532.9149,-13.65154
138,15.7729980345853,9.072893,6.700105
139,5,-11.68651,16.68651
140,5,-6.087446,11.08745
141,428.695860035901,408.9414,19.75445
142,475.564770978701,442.1795,33.38527
143,410.973595756499,495.9034,-84.92982
144,390.693195112263,497.6161,-106.9229
145,447.946319421188,482.2007,-34.25439
146,437.788421672993,472.5248,-34.73642
147,476.574580399037,504.0009,-27.42627
148,478.843360630795,524.6857,-45.84237
149,489.132883250101,524.9901,-35.85723
150,271.941647235183,302.5581,-30.61643
151,198.377880320839,204.4054,-6.027546
152,0.00707386794675813,-8.899916,8.906989
153,4.94212182160493,-1.781965,6.724087
154,1.25469524543468,9.593767,-8.339072
155,4.99576988926208,11.82997,-6.834203
156,374.048023272808,393.6747,-19.62669
157,413.030717434955,530.3473,-117.3166
158,395.521957684216,528.5096,-132.9877
159,386.305576378598,478.3492,-92.04363
